"SE","tweets","APS","casos","estacao","temp.mean","temp.sd","temp.min","temp.max","umid.mean","umid.sd","umid.min","umid.max"
201211,206,"AP2.2",124,"galeao",26.5671428571429,3.02428571428571,23.2857142857143,32.2857142857143,72.2885714285714,15.2814285714286,45.5714285714286,91
201212,252,"AP2.2",129,"galeao",25.9428571428571,2.65857142857143,22.8571428571429,31,73.1814285714286,13.2742857142857,50.2857142857143,91
201213,267,"AP2.2",206,"galeao",25.55,2.21285714285714,22.7142857142857,29.4285714285714,79.2414285714286,10.41,60.1428571428571,92.7142857142857
201214,262,"AP2.2",198,"galeao",25.9142857142857,2.33714285714286,22.8571428571429,30.1428571428571,76.78,10.5457142857143,57.4285714285714,91.8571428571429
201215,300,"AP2.2",224,"galeao",26.1485714285714,2.63142857142857,22.8571428571429,31.4285714285714,77.3271428571429,11.9957142857143,53,92.5714285714286
201216,442,"AP2.2",244,"galeao",24.8114285714286,2.54857142857143,21.4285714285714,29.2857142857143,75.7071428571429,12.3442857142857,52.8571428571429,92.5714285714286
201217,556,"AP2.2",259,"galeao",24.5328571428571,2.26428571428571,21.4285714285714,28.5714285714286,78.4085714285714,11.6914285714286,57.1428571428571,94.8571428571429
201218,429,"AP2.2",290,"galeao",21.9771428571429,1.87714285714286,19.4285714285714,25,80.6285714285714,9.56714285714286,63.1428571428571,94.8571428571429
201219,561,"AP2.2",243,"galeao",23.37,2.77714285714286,19.5714285714286,28,75.2542857142857,13.56,51,94
201220,437,"AP2.2",213,"galeao",20.6271428571429,1.98285714285714,17.8571428571429,24.4285714285714,82.5571428571429,11.0485714285714,60.4285714285714,96.5714285714286
201221,323,"AP2.2",203,"galeao",21.6842857142857,2.95428571428571,17.8571428571429,26.5714285714286,75.7942857142857,13.8971428571429,50.1428571428571,94
201222,377,"AP2.2",204,"galeao",23.8442857142857,2.57,20.8571428571429,28.8571428571429,78.8542857142857,11.1457142857143,55.8571428571429,92.7142857142857
201223,271,"AP2.2",137,"galeao",23.4728571428571,1.90428571428571,20.8571428571429,26.7142857142857,81.2771428571428,9.83571428571429,63.7142857142857,94.1428571428571
201224,215,"AP2.2",141,"galeao",21.9885714285714,2.41285714285714,19.1428571428571,26.5714285714286,80.4514285714286,12.2742857142857,55,94
201225,162,"AP2.2",100,"galeao",22.95,2.01285714285714,20.5714285714286,26.7142857142857,78.8671428571429,10.7871428571429,58.7142857142857,93.2857142857143
